,content,date
29,These emerging markets are fertile ground for creativity and innovation.,2010
30,However in South Africa competitiveness is being eroded by poor productivity and a labour market dominated by unions that have strong political influence.,2010
31,"An additional problem is that South Africa's exports are largely minerals and other commodities, now 62% of total exports, up from 46% in 2002 (source: BCA Research).",2010
32,"Profit margins on commodities are at the bottom end of the 'food chain', whereas beneficiation, and gaining branded status, immediately raises profit margins.",2010
33,"Sampson adds: ""The South African / African business culture remains digging things out of the ground.",2010
34,"We desperately need to grow our own branded offerings.""",2010
35,"Interbrand's 2010 Best Global Brands is available in full, along with expanded content and methodology, on Interbrand.com at www.thebestglobalbrands.com.",2010
36,"Interbrand Sampson

Based in Johannesburg, with offices in Cape Town, Accra, Gaborone, Lagos and Nairobi, Interbrand Sampson acts as a hub for Africa.",2010
37,"Increasingly, brands are becoming regional and global.",2010
38,Interbrand serves the world with over 38 offices in more than 20 countries.,2010
39,"Working in close partnership with its clients the company conducts global research, investigates emerging trends and introduces brands across markets.",2010
40,"Interbrand Sampson has won FinWeek's AdReview ""Best Branding and Design Agency"" in 2009 and 2010 and is a wholly-owned subsidiary of the Omnicom Group.",2010
41,For more information go to www.interbrand.com.,2010
42,Interbrand's annual ranking of the best global brands for 2010,2010
43,BotswanaPost has partnered with Microsoft to develop technology aimed at propping up the parastatals’ plan to achieve revenues of $63 million by 2014.,2012
44,"Speaking at the launch of Botswana's Information Communication Technology (ICT) projects in Gaborone, BotswanaPost chairman, Martin Makgatlhe, told the nation that the parastatal planned to transform BotswanaPost into a competitive company through the use of technology.",2012
45,"BotswanaPost has been reeling on losses in the past three years, and is moving towards diversifying its products and services through ICT.",2012
46,"“We consciously selected a partner, Microsoft Corporation, to help us automate.",2012
47,"“Through automation we will grow our competitive advantage locally and in the global world as most regional and global postal organisations are also automating,” Makgatlhe said.",2012
48,"Botswana Post is one of the oldest public services' provider in Botswana, established in 1875

The ICT projects include upgrading IT facilities, acquiring new applications and technologies that are meant to meet needs to serve customers.",2012
49,"“It will not be long before BotswanaPost becomes central to offering e-government services so that people can go to the nearest post office instead of travelling long distances to obtain services,” said Makgatlhe.",2012
50,"BotswanaPost has over 121 offices and 43 agencies across the country, covering some of the most remote areas, which the parastatal says are in the process of being interconnected to a network, following the construction of a new data-centre.",2012
51,"In a particularly newsworthy year for sustainability, Google, Microsoft, Tokyo Electric Power, Wal-Mart and BP led the pack in coverage related to green business issues.",2013
52,"Such was the finding of Covalence EthicalQuote, a reputation index tracking 2,800 of the world's largest companies on environmental, social and governance (ESG) factors, as well as on CSR, ethics and sustainability.",2013
53,"Covalence shares the data it culls with clients such as IBM, Johnson & Johnson and Gap.",2013
54,"Now, the company is exclusively divulging its year-end findings and charts with GreenBiz readers.",2013
55,"Based in Geneva, Switzerland, Covalence EthicalQuote aggregates thousands of articles gathered online.",2013
56,"Then, using an international team of analysts, it classifies the coverage according to 50 criteria inspired by the Global Reporting Initiative.",2013
57,"These include water management, pollution, biodiversity, product safety, emissions and waste management.",2013
58,"In addition to tracking news coverage by company, EthicalQuote's industry-specific assessments use MSCI's Global Industry Classification Standards list, which includes energy, banks, automobiles and components, technology hardware and equipment, and 20 other leading industry groups.",2013
59,"""This information should help make business leaders understand that reputation is especially important when it comes to ethics and sustainability,"" said Antoine Mach, Covalence EthicalQuote's managing partner and cofounder.",2013
60,"""As real sustainability performance is very difficult to measure in a standard, objective way, reputation is a proxy of such performance.",2013
61,"Also, reputation is a vector of the return on investment of sustainability programs: Doing green things is good in itself, but if the company's stakeholders aren't aware of such good things, they won't reward the company, which itself won't be motivated to do more.""",2013
62,"From Google's news dominance to the automobile industry's steady rise in favorability, here are some of EthicalQuote's key findings from January through November of 2013 — and what you can learn from the results.",2013
63,"Buzz-worthy companies

The 20 companies below garnered the greatest number of headlines pertaining to sustainability and ethics in the 2013 assessment.",2013
64,"For those that earned mostly positive headlines, making this list is good news; for those often called out for malfeasance, it can be a wake-up call for change.",2013
65,"While Covalence didn't specifically differentiate between positive and negative coverage, it's not hard to draw a qualitative line in the sand.",2013
66,"The leader, Google, for example, had a banner year in sustainability.",2013
67,"In 2013, it launched ambitious solar initiatives, jumped on the sustainability crowdsourcing bandwagon and joined forces with the likes of Al Gore to explore the greening of the Internet.",2013
68,"Ditto tech giant Facebook, which nabbed headlines for several data center-related initiatives, and Microsoft, which made significant strides in the areas of carbon pricing and offsets as well as energy-efficient buildings.",2013
69,"(That said, not all coverage related to these companies was favorable.",2013
70,"Both Facebook and Google, for instance, came under fire for problematic relationships with climate change deniers.)",2013
71,"On the flipside, a handful of companies on the list garnered headlines with a more critical edge.",2013
72,"Chevron, for example, made the news when shareholders pressured it to be more transparent about climate risks.",2013
73,"Others received more divided coverage, such as Bank of America, commended for a U.K. effort to cut down on waste but also criticized for supporting coal.",2013
74,Perhaps the most interesting entry on the list is Wal-Mart.,2013
75,"It has not traditionally been thought of as a green leader, but it made notable and bold advances this year, ranging from introducing safer chemicals in products to leading the carbon pricing charge — proving that it's never too late to shift focus and public image.",2013
76,"Industries rising, industries falling

The index's analysis of industries yielded similarly telling findings.",2013
77,"In this case, Covalence did factor in positive and negative qualifications, using a naïve Bayesian classifier trained on 12 years of human-coded data, as well as human analysts to verify the sentiments.",2013
78,"The heat map below reveals the industries with mostly positive (greens) and negative (reds and pinks) media traction in 2013:

(The size of boxes represents the volume of information.",2013
79,"The color indicates the ratio of positive news / total news from 0 to 100 percent)

This data emphasizes the importance of industry-wide communication efforts based on clear reporting and metrics.",2013
80,"""It's surprising to see the automobile industry is leading the ranking, while energy is last — after all, most cars still rely on oil,"" noted Mach.",2013
81,"""The difference is that automobile companies communicate a lot about greener cars, while the energy sector has difficulties showing its positive impacts.""",2013
82,"Indeed, the automotive industry has done an exemplary job of communicating sustainability efforts to the public, particularly regarding the rise of electric and alt-fuel vehicles.",2013
83,"Conversely, energy companies have struggled to distance themselves from negative news events such as oil spills.",2013
84,"Banking, another sector often perceived negatively, similarly has floundered in its reputation-brandishing efforts.",2013
85,"""Automobile companies can improve products (greener cars make the news), as can F&B companies (which can tout, for example, less salt, sugar and fat or the responsible sourcing of raw materials),"" Mach said.",2013
86,"""But banks don't communicate a lot about their sustainable products, while facing many controversies.""",2013
87,"Interestingly, the Automobiles & Components and Food, Beverage & Tobacco sectors — already the most favorably viewed in 2009 — also have experienced steady upticks in favorability over time.",2013
88,"On the other hand, the Energy and Banks sectors — already low on the list — have slipped precipitously, as the chart below shows.",2013
89,"Surprises, takeaways and what's ahead

According to Mach, positive news about sustainability has been on an upswing.",2013
90,"""In a historical perspective, quantities of positive news increase month after month — there doesn't seem to be sustainability fatigue on the positive side,"" she said.",2013
91,"Negative coverage, though, also has amped up — although Mach says this too can be seen as a progressive development.",2013
92,"""Over the last two years, there has been a sensible growth of negative comments in ESG-related news: more and more controversies, affairs and scandals are making noise,"" she said.",2013
93,"""It may be that governments have adopted stronger regulations and are now punishing faulty companies more strongly (see recent fines relating to the Libor scandal).",2013
94,"It seems societies are becoming less tolerant of business malpractices, perhaps in response to the 2007-2008 financial crisis.""",2013
95,"For companies with positive news to share, the imperative is clear: It's time to grab the megaphone.",2013
96,"""Companies doing green/sustainable things should communicate about it and find external relays, so that stakeholders, the media and the public are aware of it and have an improved perception of them,"" Mach said.",2013
97,"""This will then be rewarded through better relations with customers, consumers, regulators, investors, employees and future employees, as well as communities.""",2013
98,Top image of Google Doodles from 2013,2013
99,"HTML code to embed chart

Can I integrate infographics into my blog or website?",2013
100,"Yes, Statista allows the easy integration of many infographics on other websites.",2013
101,Simply copy the HTML code that is shown for the relevant statistic in order to integrate it.,2013
102,"Our standard is 660 pixels, but you can customize how the statistic is displayed to suit your site by setting the width and the display size.",2013
103,Please note that the code must be integrated into the HTML code (not only the text) for WordPress pages and other CMS sites.,2013
104,"A few weeks ago, we addressed storage transformation in this blog – and how onsite storage, cloud storage, and recovery options are evolving.",2013
105,Below is a brief video overview of some of our key storage solutions.,2013
106,"In this post, we will explore how storage is changing inside your datacenter, and how we transform industry standard disks into reliable, high-performance onsite storage for you datacenter.",2013
107,A common model today is for new deployments of important workloads like virtualization and line of business applications to utilize a storage-area network (SAN) to achieve the performance and reliability the workload needs.,2013
108,"In this model, the virtual machines running on the physical hosts access virtualized volumes of storage over the network.",2013
109,"These volumes are provided by the SAN, which contains a set of physical disks, some hardware, and software that work together to provide performance, reliability, and a level of storage virtualization.",2013
110,"If you have a significant investment in a SAN infrastructure, you can rest assured Microsoft is continuing to integrate key technologies into products like Windows Server to keep it the best operating system to use with SANs.",2013
111,We’ve introduced Offload Data Transfers (ODX) and virtual fibre channel adapter support to help increase the performance of physical and virtual workloads.,2013
112,We also have TRIM/UNMAP support for thin provisioning and flexible and efficient storage utilization.,2013
113,But there are other options.,2013
114,Historically Windows Server file-based storage was a great option for user data – workloads like file servers and SharePoint.,2013
115,"But starting with Windows Server 2012, we dramatically improved the performance and reliability of the file server, enabling it to serve as a direct replacement for more traditional storage options.",2013
116,"In this model, the Windows Server cluster contains the disks, hardware, and software to provide high-performance, reliable virtualized storage volumes over the network.",2013
117,"Storage Spaces, introduced in Windows Server 2012, aggregates the physical disks into these virtual volumes.",2013
118,"The performance needed for this solution is delivered by a host of features – including improvements in the SMB protocol, such as SMB Direct and SMB Multichannel which make use of multiple network connections and RDMA.",2013
119,Performance is further enhanced with Windows Server 2012 R2 which adds storage tiering capabilities to Storage Spaces.,2013
120,"SSDs and spinning disks can both be part of the virtualized volumes, and Windows Server automatically stores the more frequently accessed data on the faster physical storage for dramatically higher total performance.",2013
121,You can read more about the storage performance of Windows Server 2012 in an ESG Lab report.,2013
122,"An additional upcoming report includes additional performance validation, such as the table below, which compares 2, 4, 6, and 8 VM SQL workload transactions per second across various storage architectures.",2013
123,Windows Server 2012 also improved the reliability of File and Storage Services clusters.,2013
124,Such clusters no longer suffer the brief downtime previously associated with failover scenarios.,2013
125,"Instead, the failure of one node is detected immediately, and service is provided by another cluster node so quickly, the virtualization hosts are not disrupted – they retain access to storage.",2013
126,The benefits of such a solution are clear.,2013
127,"While it’s always been possible to achieve high levels of performance and reliability, in the past, this required higher costs and proprietary storage management solutions.",2013
128,"As both hardware and software technologies have evolved, these capabilities can be delivered with industry-standard hardware, at lower costs.",2013
129,These solutions are easy to scale out as needs grow – as opposed to making bulk investments in proprietary solutions.,2013
130,"Your traditional IT administrators can manage familiar file shares with ease

You can explore these storage capabilities in your own environment.",2013
131,The Windows Server 2012 R2 Preview is now available for download.,2013
132,Try it out for yourself.,2013
133,Microsoft's Tablet Strategy Is Straight Out of the Thunderdome - Bloomberg,2013
134,The new VHDX virtual file format in Windows Server 2012 Hyper-V facilitates the conversion of virtual machines to a virtual infrastructure.,2013
135,"VHDX is an upgrade to Hyper-V's former Virtual Hard Disk format, and provides benefits such as greater scalability and improved alignment.",2013
136,"In this tip, virtualization expert David Davis explains how the VHDX format evolved from VHD, the benefits the new version provides and how to convert old files to VHDX.",2013
137,One of the major new features of Windows Server 2012 Hyper-V is the VHDX format that now replaces VHD.,2013
138,"As for what the X at the end of VHDX stands for, that appears to be a mystery.",2013
139,The X isn't even defined in the official Microsoft VHDX Format Specification.,2013
140,"With Windows Server 2008 R2 Hyper-V, a virtual hard disk was limited to 2 TB in size.",2013
141,This was a serious limitation in Hyper-V and a roadblock for converting certain physical servers to Hyper-V.,2013
142,The VHD format had been around since Microsoft Corp. bought Connectix Corp. and VHD was used with Microsoft Virtual Server.,2013
143,"A VHD (or VHDX) contains everything an operating system (OS) needs to store its data, including a disk partition and file system such as NTFS or FAT.",2013
144,"For every virtual machine (VM) created, there's a virtual disk where the OS, applications and data for that VM reside.",2013
145,"Of course, you can add multiple VHD or VHDX files to a VM.",2013
146,What does VHDX offer?,2013
147,The new VHDX format allows a virtual machine disk file to scale up to 64 TB in size.,2013
148,"This is just what large VMs -- such as database servers, file servers, Exchange mailbox servers and more -- needed to be converted into the virtual infrastructure.",2013
149,"Besides the greater scalability of VHDX, it has additional resiliency.",2013
150,The VHDX format offers protection against data corruption when events such as power failures unexpectedly take down the Hyper-V host.,2013
151,Resiliency is possible by logging updates to the VHDX in the VHDX metadata such that those logged updates can be played back to recover the VHDX with integrity after the Hyper-V host is powered back on.,2013
152,VHDX also offers the following: Improved alignment of the virtual disk on large sector disks.,2013
153,Large block size (4K) for dynamic and differencing disks that allows them to better match the size of the file being stored.,2013
154,"Ability to store custom metadata about the file being stored, such as the OS or patches applied.",2013
155,"Efficient representation of data, known as the TRIM , so the file can be smaller and the underlying storage can be reclaimed.",2013
156,(Note that physical storage devices attached to the Hyper-V host are required to be TRIM-compatible.),2013
157,", so the file can be smaller and the underlying storage can be reclaimed.",2013
158,(Note that physical storage devices attached to the Hyper-V host are required to be TRIM-compatible.),2013
159,"Support for Offloaded Data Transfer (ODX), which allows the storage hardware to perform storage operations, freeing up server resources.",2013
160,Your hardware storage must support ODX.,2013
161,"Of course, like VHD in Hyper-V, VHDX disks can still be created in a fixed, dynamic or differencing disk format.",2013
162,Microsoft has confirmed the prices of the Windows 8 Pro version of the Microsoft Surface.,2013
163,A 64GB tablet will cost at $899 (£560) with a 126GB edition retailing at $999 (£623).,2013
164,"A Surface pen will come included with both versions, but users will have to splash out on an optional Touch or Type Cover.",2013
165,"No firm release date was offered beyond January 2013, and there was no information regarding UK pricing or when it would arrive this side of the pond.",2013
166,"Microsoft Surface Windows 8 Pro pricing

The Windows RT Microsoft Surface was released last month, with prices starting at £399.",2013
167,"However Microsoft is pitching the Windows 8 Pro version as both a PC and a tablet, promising that it will run all current Windows 7 desktop applications.",2013
168,"Windows 8 is billed as the first version of the operating system to run equally well on both tablets and PCs, with Windows RT designed for the ARM-based processors used by many mobile devices.",2013
169,"The Windows 8 Pro Microsoft Surface looks similar to its RT counterpart, but is powered by an Intel Core i5 processor, which will apparently provide a graphics boost to the full HD display.",2013
170,"“It’s hard to believe it’s been just over a month since Surface with Windows RT hit the market,” said Panos Panay, General Manager of Microsoft Surface.",2013
171,“The response from Surface customers has been fantastic and exciting to see.,2013
172,"In addition to sharing the terrific results that Microsoft is seeing with Windows 8 at a technology conference earlier this week, we also announced that Surface with Windows 8 Pro would be available in January 2013.”

Earlier this week, Microsoft claimed that it had sold 40 million Windows licences since it launched the platform.",2013
173,What do you know about the history of Windows?,2013
174,Take our wonderful quiz!,2013
175,Canadian start-ups will be have a new place to dream in Canada.,2013
176,Microsoft has opened up a $20 million innovation centre in Mississauga called the Microsoft Technology Centre (MTC).,2013
177,"This, according to Microsoft, is a world-class facility that provides Canadian businesses the opportunity to “envision, design and deploy innovative solutions that will better meet their needs and goals.” On deck will be Microsoft’s latest software, hardware and services, plus “partner expertise” to assist in growing their business ideas and compete globally.",2013
178,"The Mississauga MTC location is the 31st in the world, with 12 centres in the United States and 18 internationally.",2013
179,"Staci Trackey Meagher, Vice President, Enterprise and Partner Group, Microsoft Canada stated “The Microsoft Technology Centre will have a huge impact as a Canadian innovation hub, reimagining what’s possible in Canadian business and helping to drive this country’s economy forward.",2013
180,"Despite the global economic uncertainty in recent years, Microsoft Corporation has continued to steadily increase its R&D investments, and this new $20-million facility is just the latest example of our long-standing commitment to make Canadian businesses worldwide leaders in technology.”",2013
181,"The online file-sharing market had been simmering for a while, but it really bubbled up in 2012 when customers and companies recognized the red-hot potential of online collaboration tools.",2013
182,"In May, EMC Corp. acquired cloud storage startup Syncplicity LLC and highlighted the purchase (the acquisition price was small enough so that EMC wasn't required to disclose it) at its annual EMC World conference in Las Vegas.",2013
183,"EMC buying Syncplicity was considered a big step forward for EMC in the enterprise-level online file-sharing space, which is why it’s our fifth pick.",2013
184,"EMC was apparently sold on Syncplicity's focus on security; the company's product is SAS 70/SSAE 16 compliant, and that means strict auditing security standards.",2013
185,"In November, EMC announced plans to integrate Syncplicity with the SlideShark app.",2013
186,That means pairing Syncplicity's cloud-based file sync technology with the Brainshark app that allows users to share and view PowerPoint presentations on mobile devices like iPads.,2013
187,Microsoft has released its operating system for powering small embedded devices such as sensors and industrial machinery.,2013
188,Windows Embedded Compact 2013 is optimised for building small-footprint industry devices that sit at the edge of the enterprise.,2013
189,"Windows Embedded Compact 2013 includes new tools and capabilities – including new support for Visual Studio 2012 – that extend the experience of Windows and help businesses capitalise on the Internet of Things, Microsoft said.",2013
190,"Compact Windows

Indeed, the new release offers improvements for developers who build devices on Windows Embedded Compact 2013.",2013
191,"“With this release, we focused on making developers’ lives easier,” said Steven Bridgeland, senior product manager for Windows Embedded at Microsoft, in a statement.",2013
192,"“Support for Visual Studio 2012 offers significant improvements for developers, including a simplified UI and sharper syntax colourisation, and tools such as improved compilers, auto-generation of code snippets and XAML tools.”

With the Visual Studio 2012 support, developers can leverage Microsoft’s Platform Builder and Application Builder technologies that are available as part of the toolset.",2013
193,"Platform Builder is a collection of all the development tools necessary for developers to design, create, build, test and debug a Windows Embedded Compact-based platform, said Colin Murphy, technical program manager for Windows Embedded at Microsoft, in a 13 June blog post.",2013
194,"“Platform Builder hosted in Visual Studio 2012 inherits not only the familiar Platform Builder experience that existing Windows Embedded Compact developers use, but also offers all of the latest Visual Studio 2012 experiences as well,” Murphy said in the post.",2013
195,"This includes, but is not limited to, the latest ARM and x86 compilers and GUI including ‘IntelliSense,’ which helps speed up app development.”

Application Builder for Windows Embedded Compact 2013 enables managed and native application development using Visual Studio 2012.",2013
196,"It provides an easy application deployment mechanism and other Visual Studio integration features, Microsoft said.",2013
197,"Industrial OS

“Application Builder partnered with an SDK spun from Platform Builder gives an application developer the ability to create applications targeting a specific device,” Murphy said.",2013
198,"“Application Builder SDKs are all-inclusive and contain not only all matching header and library files, but application templates and tool sets as well, ensuring matching files, end to end, from the device to the app.”

The new OS release is the latest generation of one of the smallest and most flexible products in the Windows Embedded portfolio, designed to power devices that need real-time performance and silicon flexibility, with support for x86 and ARM architectures.",2013
199,What does Cliff Bleszinski think about Microsoft's 'Gears of War' buy?,2014
200,- Triangle Business Journal - The Business Journals,2014
201,"After what has felt like an eternity, Microsoft has finally ended all forms of official support for Windows XP, more than 12 years after the operating system launched, and still with a significant portion of users globally.",2014
202,"Today, April 8, 2014, marks the end of the extended support phase for Windows XP and Office 2003.",2014
203,"Mainstream support for these products ended a full five years ago, in April 2009, and Microsoft has since been giving users plenty of warnings that all support will (and now has) come to an end.",2014
204,"Over the past few days, Windows XP users running Microsoft Security Essentials have been nagged with pop-ups indicating support will end, much to the frustration of those who refuse to upgrade.",2014
205,"However Microsoft has a point with the consistent messages: from now on, Windows XP will no longer receive any security patches, fixes or updates, leaving systems running the OS potentially vulnerable to attacks through unpatched holes.",2014
206,"As much as 28% of the world's PCs are running Windows XP - nearly four times the entire Mac OS user population - mostly due to business and government departments who are yet to switch to a newer, and inherently more secure operating system.",2014
207,"Attackers will almost certainly ramp up attempts to infiltrate these systems, making third-party security solutions more important than ever.",2014
208,"Some large organizations who are yet to upgrade are paying Microsoft for custom support packages; the UK government, for example, is forking out £5.5m (~US$9.2m) for 12 months of Windows XP support.",2014
209,"For the rest of us, upgrading to a supported OS such as Windows 8.1 or Windows 7 is a much more sensible option.",2014
210,"More than a year and a half after POS distributor ScanSource Inc. sued former channel partner Avanade Inc., the latter has agreed to pay $15 million in damages in a settlement that was not immediately announced.",2014
211,"ScanSource confirmed the settlement to CDN, which was outlined in its 10-K report filed with the U.S. Securities and Exchange Commission (SEC) in late August.",2014
212,"A small paragraph in ScanSource’s annual report outlined the arrangement, reached last June, which also saw Avanade reverse “$2 million in accrued liabilities for unpaid invoices” and the company pay “a contingency fee of $1.5 million to the law firm who represented [ScanSource].”

The net legal recovery for ScanSource sits at just below $15.5 million, according to the report.",2014
213,"South Carolina-based ScanSource, which has offices in Mississauga, Ont.",2014
214,first took its ERP implementation partner to court back in January 2013 over what it described a “bait-and-switch” tactic.,2014
215,"Avanade, a joint venture between consulting company Accenture and Microsoft was alleged at the time to have known it was not able to perform Microsoft AX implementation for ScanSource, and misrepresented its skills to land the contract.",2014
216,"ScanSource claimed that the result was incomplete and defective, despite seeing Avanade’s estimate of the installation rise from $17 million to nearly $66 million, and from 11 months to three years.",2014
217,"Under the settlement, both parties agreed to “mutually dismiss all claims and counterclaims against the other,” according to ScanSource’s report.",2014
218,"According to the author of the web site Exposing Evil Empire and a former Accenture employee who asked for anonymity, the total cost to ScanSource of trying to implement Microsoft Dynamics AX ERP with Avanade and Accenture was approximately $50.5 million after the settlement.",2014
219,"“[ScanSource] has taken a large blow from this failed project,” he said.",2014
220,"Aside from the cost of the failed project, the source claims ScanSource’s work on revamping its aging IT infrastructure to keep up with expansion has been delayed by at least three years.",2014
221,"“When organizations have large problems like this motivation and employee engagement goes down,” he said.",2014
222,"“They have to spend time solving frustrating problems instead of innovating their business.”

Representatives of Avanade Inc. declined to comment.",2014
223,"Profile KPMG

Update 4 February 2015 - The shareholders of Crimsonwing have accepted the bid from KPMG, which makes KPMG the largest Microsoft Dynamics specialist of the Big Four accounting and consulting giants.",2014
224,"As part of the transaction the new entity KPMG Crimsonwing is formed, a joint venture between the KPMG organisations of the UK, the Netherlands and Malta.",2014
225,"28 November 2014 – KPMG plans to acquire IT consulting firm Crimsonwing, a specialist in the field of Microsoft Dynamics.",2014
226,"If the shareholders accept the €26 million (roughly £20 million) bid, KPMG will launch a new venture – KPMG Crimsonwing – which will consist of nearly 350 employees in the UK, Netherlands and Malta.",2014
227,"Crimsonwing, established in 1996, specialises in the automation of business processes making use of Microsoft Dynamics.",2014
228,"The firm in addition provides eCommerce services, based on software from Magento and Intershop.",2014
229,"In 2007 Crimsonwing gained the Microsoft Gold Partner status, and significantly boosted its market position through the acquisition of two industry counterparts.",2014
230,"The stock listed company has offices in London, Hilversum and Valkenswaard (Netherlands) and Marsa (Malta).",2014
231,“Today’s announcement represents a significant step in the growth of our Advisory practice.,2014
232,"The deal will help us build both onshore and Maltese near-shore capabilities, making us more accessible to European-based clients.",2014
233,"Combining Crimsonwing with our own Dynamics consulting team will strengthen and cement KPMG’s position as a leading business partner of Microsoft,” says Richard Fleming, head of KPMG Advisory in the UK.",2014
234,"If the shareholders of Crimsonwing accept the bid, the acquired business will become known as KPMG Crimsonwing and will be jointly owned by KPMG’s firms in the UK, Netherlands and Malta.",2014
235,"Crimsonwing’s Founder, David Walsh, will be chief executive of KPMG Crimsonwing which will combine KPMG’s current Microsoft Dynamics teams in the UK and Netherlands with Crimsonwing to create an overall team of approximately 350 people.",2014
236,The combined entity will according to KPMG have a goal of more than doubling in size over three years.,2014
237,"successful acquisition would make KPMG largest ‘Big 4’ provider of Microsoft Dynamics consulting and implementation services in Europe

deal will create a team of c350 in the UK, Netherlands and Malta, with ambitions to double in size in 3 years

deal makes KPMG the largest professional services employer in Malta

KPMG has, today, made an offer to acquire Crimsonwing, an international IT company focusing on Microsoft Dynamics and e-Commerce business solutions.",2014
238,KPMG’s offer values Crimsonwing at €26 million.,2014
239,"If successful, the acquired business will become known as KPMG Crimsonwing and will be jointly owned by KPMG’s firms in the UK, Netherlands and Malta.",2014
240,"Crimsonwing’s Founder, David Walsh, will be chief executive of KPMG Crimsonwing which will combine KPMG’s current Microsoft Dynamics teams in the UK and Netherlands with Crimsonwing to create an overall team of approximately 350 people.",2014
241,The combined entity has a goal of more than doubling in size over three years.,2014
242,"Founded in 1996, Crimsonwing is an award-winning consultancy providing industry-specific business, mobile and cloud solutions for international clients related to Microsoft Dynamics and e-Commerce.",2014
243,Crimsonwing has developed market leading software incorporating their own intellectual property for industries such as print management and property lease management and for membership organisations.,2014
244,The proposed acquisition is consistent with the firm’s strategy of building an Advisory practice which combines business expertise with the underlying technology capabilities required to implement business solutions.,2014
245,"If successful, it will follow the acquisition of Safira, a provider of Business Process Management solutions, and Cynergy Systems, a Digital and Mobile specialist.",2014
246,"Tonio Zarb, senior partner of KPMG in Malta, says: “Today’s announcement represents a significant step in the growth of our Advisory practice.",2014
247,The deal will make KPMG the largest professional services employer on the island.,2014
248,It will help us to employ even more people in Malta and provides us with access to European-based clients.,2014
