,Text,is_long,ESG_Category
7757,Follow the Microsoft Industry Blog for industryspecific news.,False,General
2386,"As we’ve found with Microsoft’s accessibility efforts, we believe that sustainability is a cause that is not only important to our employees, but an area where they can generate important insights and innovations across the company.",False,Social
19313,Worked with Harvard Medical and Mayo Clinic on MSN Health H1N1 Information Center,False,General
19470,"By supporting the program, the 1,900plus participating Goodwill locations in the United States and Canada will now collect Microsoft entertainment products, including Xbox, Zune, and accompanying accessories.",False,General
14612,"The program offer qualified startups access to technology, education, customers, and grants to help them build and scale their missiondriven companies.",False,General
16885,Microsofts respect for human rights reflects our longstanding commitment to empowering individuals around the world.,False,Social
21285,"In 1983, Microsoft established one of the first corporate giving programs in the hightech industry.",False,General
21201,The success of Windows is due in no small part to the creativity and innovation of developers who write programs that run on the Windows platform.,False,General
4128,But something that seemed to get more attention at the vendor's Ignite conference this week was Viva's employee privacy rules.,False,General
4641,All devastating events.,False,General
6245,A Solution Architect can prepare and validate the strength of their emissions calculation design by leveraging the design principles.,False,Environmental
16241,Bonuses focus on an individuals business impact over the past year.,False,General
4028,Research commissioned by Microsoft estimates businesses using their infrastructure are up to 93% more energyefficient and can result in up to 98% lower carbon emissions than operating their own datacenter.,False,Environmental
17627,We also host NGO Connection Days around the globe for nonprofit organizations to learn how technology can help them become more efficient and effective in their work.,False,General
8901,"Social and governance metrics and reports (preview) provide insights, dashboards, and metrics to support your needs across various sustainability directives.",False,Social
1474,Notes to editors1.,False,General
10728,"By integrating environmental considerations into their operations, companies can reduce their carbon footprint, conserve resources, and contribute to protecting the planet.",False,Environmental
17608,"Strengthening talent pools by advancing efforts to increase representation of women globally (with a strong focus on technical women), as well as racial minorities in the US.",False,Social
20216,"Microsoft is the first company to approach us with a vision of empowering OF Ws (Overseas Filipino Workers) through technology, and we are very happy that we are able to sustain this partnership.",False,Social
5211,Microsoft Sustainability.,False,Social
7159,"To make the most of these technologies, businesses need to know how to implement them.",False,General
10405,"Previously, the edie awards programme held a number of great ceremonies and awarded the likes of Microsoft, Capgemini, Du Point Water Solutions, JLL, and Mitie for their netzero carbon strategies.",False,Environmental
17471,"Since the vetting programs inception, Microsoft has screened nearly 100,000 representatives and suppliers to enable Microsoft to monitor the risk profile and drive risk mitigation efforts accordingly.",False,General
15390,"The policy roadmap is grounded in our belief in a future powered by the cloud, and our commitment to realize the social and economic benefits of cloud computing for everyone.",False,Social
11076,"Use pricing calculator You can use the pricing calculators for Google Cloud or Microsoft Azure to estimate your costs, as services may vary based on geographical region, usage volume and specific features or addons.",False,General
6228,"For instance, a partner hired to configure Microsoft Sustainability Manager can leverage the framework to design reliable and scalable architecture to build their customer’s carbon emission calculations and reporting workloads.",False,Environmental
2334,It has three broad components.,False,General
16817,"Leading the culture transformation toward a growth mindset and helping drive behaviors to support the cultural attributes of diversity and Inclusion, customer obsession, One Microsoft, and making a difference.",False,Social
19671,"Included training topics such as anticorruption, conflicts of interest, and financial integrity in FY2010",False,Social
21061,Six core values guide Microsoft and serve as the foundation for everything we do.,False,General
4449,"As the United Nations Environment Programme reported in October in its annual Emissions Gap report, current national climate plans fall short of what will be needed to meet the world’s climate targets.",False,Environmental
12863,"Delivering sustainability training Linked In Learning delivered 11 new courses for members to build indemand sustainability skills over the past year: Closing the Green Skills Gap to Power a Greener Economy and Drive Sustainability; 34 Things to Know About Carbon and Climate; Green Jobs for Sustainable Careers; Sustainability as an Innovation Opportunity; Daily Habits to Live Sustainably; Introduction to ESG: Environmental, Social, and Governance; Including Sustainability in Your Cloud Strategy; Corporate Finance: Environmental, Social, and Governance; AWS Well Architected Framework: Sustainability Pillar; Sustainable and ESG Supply Chains; How Tech Drives Sustainability.",False,Social
7752,"With this update, customers can now request access to the preview feature through the Azure portal.",False,General
4140,"The OKR app module will have a central hub for individuals, teams and departments to access and update goals, review progress and see a shared view of the team's priorities, said Seth Patton, general manager of Microsoft 365 and Viva product marketing, at the virtual conference.",False,General
14254,"Scope 1 Asia Europe, Middle East, Africa Latin America North America Subtotal",False,Environmental
19673,"In late 2009, the U. S. Department of Justice (DOJ) declared in court that the Microsoft work on documenting various Windows protocols was substantially complete.",False,General
21260,"The fundamental purpose of open standards is to promote interoperability across diverse hardware and software products, and to spark competition and innovation among vendors who want to differentiate their implementations of the standards.",False,General
9990,"We will also utilize AI, machine learning, and generative AI models to provide valuable insights into customer engagement, advertising, inventory management, and supply chain management.",False,General
18891,The destruction of infrastructure in humanitarian emergency situations makes communication and coordinated response difficult.,False,General
9390,"Breakout sessions The A Iera of Industrial Transformation, Wednesday, November 15, 2023, 2:45 PM—3:30 PM PT Learn how organizations are investing to optimize operations by extracting insights from information technology, operational technology, and engineering technology data with cloudtoedge technologies, democratizing data access for better decisionmaking with copilots, and empowering frontline workers with enhanced mixed reality applications.",False,General
8369,In Statista .,False,General
18084,"External frameworks Our work is informed by international frameworks such as the Global Reporting Initiatives Sustainability Reporting Guidelines, the United Nations (UN) Guiding Principles on Business and Human Rights, and the UN Global Compact.",False,Social
11983,Advancing lifecycle assessments Microsoft is promoting circular design principles for the cloud hardware and devices communities.,False,Environmental
5811,"If you do less, you’ll drive greater impact.",False,Social
5727,The digital solutions offered by KPMG in Sweden and Microsoft can help Södra spend more time on strategic decisionmaking and on more detailed analysis and planning.,False,General
4010,"Brands who feature in the Index were assessed according to a set of seven key criteria, including evidence of creativity in purposeled campaigns, level of investment in ‘sport for good’ causes, and the extent to which their sports investments align with the United Nations’ (UN) Sustainable Development Goals.",False,Social
13889,"We have also established a growing Authorized Service Provider (ASP) network to expand customer repairs across countries including the United States, Canada, Australia, Germany, and France.",False,General
6345,Service Now recently introduced the Generative AI Controller that allows organizations to easily connect Service Now to Azure OpenAI.,False,General
4574,"And, through Project Amplify, Accenture and Microsoft support dozens of startups that focus on driving social impact and sustainability by providing access to emerging technology and expertise to help them scale their solutions.",False,Social
14714,The Sol Le Witt app will take visitors on a virtual tour of the artists studio and locations of Le Witts famous Wall Drawings in institutions throughout the world.,False,General
1443,"And obviously because of the Seahawks, and now because of the Sounders, it makes that really come to life.”Getty Images",False,Social
4347,"They will also apply digital twin technology to help reduce emissions, waste, the consumption of materials, water and other resources in production and operations, and improve transparency across the value chain.",False,Environmental
12033,"In parallel to energy reductions and efficiencies, our work supports the growth and adoption of more carbonfree energy.",False,Environmental
21093,"The Microsoft Vendor Code of Conduct covers everything from harassment to the use of email and online resources, and makes it clear that we expect our vendors to share our support of cultural and",False,Social
2199,"For more information, press only:Microsoft Media Relations, WE Communications for Microsoft, (425) 6387777, [email protected]Investor Inquiries[email protected]Salli Schwartz +1 212 804 5306 Media Inquiries[email protected]Sam Wang +1 212 804 5244 Melanie Blanco +1 212 981 1049 Rachel Lai +852 2844 9315MSCI Global Client ServiceEMEA Client Service + 44 20 7618.2222 Americas Client Service +1 888 588 4567 (toll free)Asia Pacific Client Service + 852 2844 9333 Forward Looking Statements This press release contains forwardlooking statements within the meaning of the Private Securities Litigation Reform Act of 1995.",False,General
9193,Microsoft Cloud for Sustainability Take the next steps on your sustainability journey.,False,Environmental
15784,"Support a greener grid To support a greener grid, weve signed a large renewable energy deal to power our Wyoming datacenter entirely by wind.",False,Environmental
9565,Altman was courting Soft Bank Group Corp. chairman Masayoshi Son for a multibilliondollar investment in a new business to make A Ioriented hardware in partnership with former Apple designer Jony Ive.,False,General
4563,"For Earth Day, and every day, we are proud to celebrate some of our partners who are working to build a more sustainable future.",False,Social
8483,"“Infosys’s expertise in the sustainability domain and technology capabilities can assist financial institutions in achieving their environmental goals without compromising on performance,” he said.",False,Environmental
8612,"Construction began in August 2023, with an expected completion date in the first half of 2025.",False,General
18836,Propelling innovation: One key to creating economic growth through technology is innovation.,False,General
7571,"These include faster environmental, social and governance (ESG) data analytics and insights, an AI assistant to help accelerate impactful decisionmaking and reporting, and other advanced capabilities — all designed to help organizations move the needle faster.",False,Environmental
18624,Read more about its efforts to advance Internet freedom and online privacy.,False,General
19596,"Microsoft continues to offer certain online services, such as Bing, to citizens in China.",False,General
20444,"Whether it is sharing data between applications written in different programming languages, or trying to log on across multiple systems, Microsoft is committed to delivering innovative interoperable solutions that enable technologies to work together without compromising their distinctive underlying capabilities.",False,General
843,"Microsoft Azure runs on top of Windows Server and HyperV. Microsoft's software as a service offering, Office 365, also runs on Windows Server and HyperV.",False,General
12957,"sales and usage, we reduced the carbon footprint for several of our products.",False,Environmental
3062,"Reducing this significantly can be achieved by something as simple as identifying what that is and deleting anything that turns out to be ROT [redundant, obsolete or trivial] data.",False,General
9961,"Shelly Blackburn, vice president of sustainability commercial solutions at Microsoft, said that the key to ESG success lies in solving three challenges: data complexity, overcoming pressures and planning ahead for the future.",False,Social
13425,"Travel has been cut by up to 40 percent, significantly lowering their carbon footprint.8",False,Environmental
11082,Microsoft Azure offers robust SSH key management for VM access.,False,General
17475,"Microsoft is a leader in adopting standards to increase accountability to our shareholders, including early adoption of majority voting for board directors and Say on Pay advisory votes on executive compensation.",False,Governance
11263,We continue to build on our commitments to innovate and invest in technologies that address environmental sustainability and to transparently share our achievements and setbacks so that we can all learn together.,False,Environmental
7117,Major accounting firm KPMG is planning to invest $2 billion in artificial intelligence (AI) and cloud services over the next five years with Microsoft.,False,General
3776,"The vast majority of Think Pad laptops are EPEAT Gold rated, including the Think Pad X1 portfolio.",False,General
