,Sentence,cleaned_text,Year,Company
18,These commitments are rooted in science and take the necessary steps to protect our ecosystems and prevent the most severe impacts of climate change.,commitments rooted science take necessary steps protect ecosystems prevent severe impacts climate change,2022,MSFT
19,We are firmly focused on achieving our 2030 commitments and making the right longterm investments that support the sustainability of our business for decades to come.,firmly focused achieving commitments making right longterm investments support sustainability business come,2022,MSFT
20,"In addition to our longterm focus, its important to pause and evaluate our progress in 2022.",addition longterm focus important pause evaluate progress,2022,MSFT
21,"In 2022, our business grew by 18 percent and our overall emissions declined by 0.5 percent.",business grew 18 percent overall emissions declined 05 percent,2022,MSFT
22,This in part is a result of a reduction in our direct operational (Scope 1 and 2) emissions by 22.7 percent.,part result reduction direct operational scope 1 2 emissions 227 percent,2022,MSFT
23,"At Microsoft, Scope 1 and 2 emissions account for less than four percent of total emissions, while indirect emissions, or Scope 3, account for more than 96 percent.",scope 1 2 emissions account less four percent total emissions indirect emissions scope 3 account 96 percent,2022,MSFT
24,"Our Scope 3 reported emissions increased slightly in 2022, by 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth.",scope 3 reported emissions increased slightly 05 percent despite 25 percent increase purchased goods services due business growth,2022,MSFT
25,"The more positive outcomes in 2022 are the result of improvements in our operations, realtime device telemetrybased measurement, renewable energy investments, sustainable aviation fuel (SAF) purchases, and procurement of unbundled renewable energy certificates (RE Cs).",positive outcomes result improvements operations realtime device telemetrybased measurement renewable energy investments sustainable aviation fuel saf purchases procurement unbundled renewable energy certificates cs,2022,MSFT
26,"Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and President",chief sustainability officer vice chair president,2022,MSFT
27,"While we continue to work to reduce our Scope 1 and 2 emissions to near zero, Scope 3 is the ultimate decarbonization challenge.",continue work reduce scope 1 2 emissions near zero scope 3 ultimate decarbonization challenge,2022,MSFT
28,"It necessitates the coevolution of best practices for business, technology, and policy among thousands of global stakeholders.",necessitates coevolution best practices business technology policy among thousands global stakeholders,2022,MSFT
29,"When we made our carbon negative commitment in 2020 it wasnt just a challenge to support the sustainability of our business, it was also an invitation to the world to participate in this journey, translating ingenuity into action, and action into impact.",made carbon negative commitment nt challenge support sustainability business also invitation world participate journey translating ingenuity action action impact,2022,MSFT
30,"In addition to our carbon negative commitment, weve also made encouraging progress toward our 2030 commitments in water, waste, and ecosystems:",addition carbon negative commitment also made encouraging progress toward 2030 commitments water waste ecosystems,2022,MSFT
31,"Water positive We contracted for replenishment projects that are estimated to provide more than 15.6 million m3 in volumetric water benefits, increasing our running total of replenishment projects to 35 million m3.",water positive contracted replenishment projects estimated provide 156 million m3 volumetric water benefits increasing running total replenishment projects 35 million m3,2022,MSFT
32,"Additionally, we provided more than 850,000 people with access to clean water and sanitation solutions, including 163,000 in Brazil, India, Indonesia, and Mexico.",additionally provided 850000 people access clean water sanitation solutions including 163000,2022,MSFT
33,We are firmly focused on achieving our 2030 commitments and making the right longterm investments that support the sustainability of our business for decades to come.,firmly focused achieving commitments making right longterm investments support sustainability business come,2022,MSFT
34,Zero waste We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent.,zero waste increased reuse recycle rates cloud hardware 82 percent continue pace toward reuse recycle goal 90 percent,2022,MSFT
35,We also reduced singleuse plastics across all Microsoft packaging to 3.3 percent and are on track to eliminate their use by 2025.,also reduced singleuse plastics across packaging 33 percent track eliminate use,2022,MSFT
36,"In total, we have diverted 12,159 metric tons of solid waste from landfills.",total diverted 12159 metric tons solid waste landfills,2022,MSFT
37,Ecosystem protection We continue to maintain our commitment to protect more land than we use.,ecosystem protection continue maintain commitment protect land use,2022,MSFT
38,"In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected.",12000 17000 acres contracted land officially designated protected,2022,MSFT
39,"The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.",amount land protected exceeds approximately 11200 acres land currently use,2022,MSFT
40,Amplifying our impact and helping our customers achieve more Our second sphere of influence is customer sustainability.,amplifying impact helping customers achieve second sphere influence customer sustainability,2022,MSFT
41,"As a technology company, we have a role to play with the thousands of corporate customers who put their trust in Microsoft technology.",technology company role play thousands corporate customers put trust technology,2022,MSFT
42,The majority of our customers have already made a climate pledge and Microsoft is working to help them move from pledges to progress.,majority customers already made climate pledge working help move pledges progress,2022,MSFT
43,"While Microsofts emissions footprint is a tiny percentage of global emissions, we also have a role to play in helping reduce or remove the other 99.97 percent of global emissions.",microsofts emissions footprint tiny percentage global emissions also role play helping reduce remove 9997 percent global emissions,2022,MSFT
44,Its important that our approach to sustainability extends beyond our own four walls and supports the sustainability needs of our customers.,important approach sustainability extends beyond four walls supports sustainability needs customers,2022,MSFT
45,"Companies can only manage what they can measure, and Microsoft is committed to helping our customers measure their environmental impact in a timely and accurate manner.",companies manage measure committed helping customers measure environmental impact timely accurate manner,2022,MSFT
46,"In June 2022, we launched Microsoft Cloud for Sustainability, a comprehensive environmental sustainability management platform that includes Microsoft Sustainability Manager.",launched cloud sustainability comprehensive environmental sustainability management platform includes sustainability manager,2022,MSFT
47,These new digital tools can interoperate with virtually any business system and unify data intelligence for organizations at any stage of their sustainability journey.,new digital tools interoperate virtually business system unify data intelligence organizations stage sustainability journey,2022,MSFT
48,"Sustainability Manager enables organizations to record, report, and reduce their Scope 1, 2, and 3 emissions.",sustainability manager enables organizations record report reduce scope 1 2 3 emissions,2022,MSFT
49,"Microsoft Azure customers also benefited from significant upgrades to the Emissions Impact Dashboard (EID), which helps customers to understand the emissions impact that results from their use of the Microsoft Cloud.",azure customers also benefited significant upgrades emissions impact dashboard eid helps customers understand emissions impact results use cloud,2022,MSFT
50,"The EID estimates Microsofts direct and indirect emissions related to a customers cloud usage, as well as the emissions customers have avoided by running workloads in the cloud rather than onpremises.",eid estimates microsofts direct indirect emissions related customers cloud usage well emissions customers avoided running workloads cloud rather onpremises,2022,MSFT
51,"In 2022, we also released a preview version of the Microsoft Planetary Computer to enable customers to measure, monitor, and subsequently to manage ecosystems that may be affected by their operations, and to make important decisions related to climate risk.",also released preview version planetary computer enable customers measure monitor subsequently manage ecosystems may affected operations make important decisions related climate risk,2022,MSFT
52,The Planetary Computer draws on more than 60 petabytes of opensource geospatial data.,planetary computer draws 60 petabytes opensource geospatial data,2022,MSFT
53,"This data, when combined with the analytic capabilities of our AI for Good Lab, delivers a new level of planetary insights to corporations and governments around the world.",data combined analytic capabilities ai good lab delivers new level planetary insights corporations governments around world,2022,MSFT
54,"Enabling and supporting a more sustainable world Finally, our third sphere of influence is to impact global sustainability.",enabling supporting sustainable world finally third sphere influence impact global sustainability,2022,MSFT
55,"Just as the reach of Microsoft technology extends to almost every country in the world, so should the impact of our sustainability programs.",reach technology extends almost every country world impact sustainability programs,2022,MSFT
56,There were important conversations at COP27 focused on the uneven impacts of climate change and how the least developed countries in the world are disproportionately affected.,important conversations cop27 focused uneven impacts climate change least developed countries world disproportionately affected,2022,MSFT
57,"For example, the nations of Africa together account for less than 5 percent of global emissions but have experienced far more than their share of the negative impacts of climate change.",example nations africa together account less 5 percent global emissions experienced far share negative impacts climate change,2022,MSFT
58,"At Microsoft, we are focused on climate policies and programs that will have a positive impact on all eight billion inhabitants of planet Earth.",focused climate policies programs positive impact eight billion inhabitants planet earth,2022,MSFT
59,Policy Microsoft is deeply committed to using our voice to influence sustainability policies around the world.,policy deeply committed using voice influence sustainability policies around world,2022,MSFT
60,"We support public policy initiatives to accelerate carbon reporting, reduction and removal, the transition to clean energy, water access and stress reduction, and the ability to measure, manage, and protect ecosystems.",support public policy initiatives accelerate carbon reporting reduction removal transition clean energy water access stress reduction ability measure manage protect ecosystems,2022,MSFT
61,"In 2022, we further committed to shaping public policy by releasing policy briefs on carbon and electricity.",committed shaping public policy releasing policy briefs carbon electricity,2022,MSFT
62,"Carbon measurement and the Carbon Call In February 2022, Microsoft, Climate Works Foundation, and over 20 leading organizations launched an important new initiative called the Carbon Call.",carbon measurement carbon call climate works foundation 20 leading organizations launched important new initiative called carbon call,2022,MSFT
63,The objective of this program is to unify the world around a carbon accounting system that is more reliable and interoperable.,objective program unify world around carbon accounting system reliable interoperable,2022,MSFT
64,"The Carbon Call now has over 80 signatories, and released its initial roadmap at COP27.",carbon call 80 signatories released initial roadmap cop27,2022,MSFT
65,A decade of innovation and decisive action As we look toward 2030and beyondwe remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.,innovation decisive action look toward 2030and beyondwe remain optimistic collective ability decarbonize global economy continuing grow prosper global community,2022,MSFT
66,We will continue investing in three key areas that will enable the scale of sustainability solutions needed to address the climate crisis:,continue investing three key areas enable scale sustainability solutions needed address climate crisis,2022,MSFT
67,"This will be a decade of innovation and decisive action, from expanding the use of AI to address sustainability to forging new public and private sector partnerships.",innovation decisive action expanding use ai address sustainability forging new public private sector partnerships,2022,MSFT
68,"To move from pledges to progress, we cannot be deterred by nearterm challenges, and must remain focused on developing innovative new solutions and in many cases, accelerating our actions.",move pledges progress deterred nearterm challenges must remain focused developing innovative new solutions many cases accelerating actions,2022,MSFT
69,"At Microsoft, were deeply committed to sustainability as a company, as a technology provider, and as citizens of planet Earth.",deeply committed sustainability company technology provider citizens planet earth,2022,MSFT
70,"Climate Innovation Fund We believe that innovation is a critical component to solving the climate crisis, and that the investment of capital plays an important role in accelerating the availability of new solutions.",climate innovation fund believe innovation critical component solving climate crisis investment capital plays important role accelerating availability new solutions,2022,MSFT
71,Microsoft is investing in accelerating climate innovation through our $1 billion Climate Innovation Fund (CIF).,investing accelerating climate innovation 1 billion climate innovation fund cif,2022,MSFT
72,"We invest in innovative technologies and business models that have the potential for meaningful, measurable climate impact by 2030.",invest innovative technologies business models potential meaningful measurable climate impact,2022,MSFT
73,"Since the founding of the CIF in 2020, Microsoft has allocated more than $600 million into a global portfolio of more than 50 investments, including sustainable solutions in energy, industrial, and natural systems.",since founding cif allocated 600 million global portfolio 50 investments including sustainable solutions energy industrial natural systems,2022,MSFT
74,"In November we announced an expansion of our AI for Good Lab into Egypt and Kenya, building a new team of data scientists on the ground in Africa that will work to improve climate resilience.",announced expansion ai good lab building new team data scientists ground africa work improve climate resilience,2022,MSFT
75,The work of these data labs will be informed by a new Africa AI Innovation Council comprised of representatives from leading African organizations.,work data labs informed new africa ai innovation council comprised representatives leading african organizations,2022,MSFT
76,Sustainability skills Delivering on the ambition of the Paris Agreement will require a global initiative focused on the proliferation of sustainability skills throughout the labor market.,sustainability skills delivering ambition agreement require global initiative focused proliferation sustainability skills throughout labor market,2022,MSFT
77,"In November 2022, Microsoft and BCG released a new report, Closing the Sustainability Skills Gap: Helping Businesses Move from Pledges to Progress.",bcg released new report closing sustainability skills gap helping businesses move pledges progress,2022,MSFT
78,"This report reinforces the need for employers and governments to invest in upskilling the current workforce through learning initiatives focused on sustainability knowledge and skills, to prepare the next generation for sustainability jobs of the future.",report reinforces need employers governments invest upskilling current workforce learning initiatives focused sustainability knowledge skills prepare next generation sustainability jobs future,2022,MSFT
79,Microsoft is working with partners to develop and share new sustainability learning materials to accelerate the development of the sustainability workforce of the future.,working partners develop share new sustainability learning materials accelerate development sustainability workforce future,2022,MSFT
80,"The Microsoft Planetary Computer enables customers to measure, monitor, and manage ecosystems and make climate risk decisions.",planetary computer enables customers measure monitor manage ecosystems make climate risk decisions,2022,MSFT
81,"Microsoft Cloud for Sustainability The Microsoft Cloud for Sustainability data model centralizes emissions data from disparate sources in a shared data languagestreamlining data ingestion, integration, and calculations and enabling more accurate and reliable reporting.",cloud sustainability cloud sustainability data model centralizes emissions data disparate sources shared data languagestreamlining data ingestion integration calculations enabling accurate reliable reporting,2022,MSFT
82,The Microsoft Cloud for Sustainability data model initially focused on carbon and was expanded in 2022 to include water data.,cloud sustainability data model initially focused carbon expanded include water data,2022,MSFT
83,"Advanced policy To support our policy work, we published several briefs on carbon and electricity policy to share the priorities and principles that guide Microsofts policy advocacy work around the world.",advanced policy support policy work published several briefs carbon electricity policy share priorities principles guide microsofts policy advocacy work around world,2022,MSFT
84,">$600M in climate innovation Since its inception, Microsoft has allocated over $600 million impact investment capital from our Climate Innovation Fund into a global portfolio of investments, featuring sustainable solutions in energy, industrial, and natural systems.",600 climate innovation since inception allocated 600 million impact investment capital climate innovation fund global portfolio investments featuring sustainable solutions energy industrial natural systems,2022,MSFT
85,"We also made firstof-akind multiyear forward offtake commitments to carbon removal, which we view as the model for scaling this industry.",also made firstof akind forward offtake commitments carbon removal view model scaling industry,2022,MSFT
86,"In FY22, we contracted for replenishment projects that are estimated to provide more than 15.6 million m3 in volumetric water benefit over the lifetime of these projects.",fy22 contracted replenishment projects estimated provide 156 million m3 volumetric water benefit lifetime projects,2022,MSFT
87,"In FY22, we diverted 12,159 metric tons of solid waste from landfills and incinerators across our direct operational footprint.",fy22 diverted 12159 metric tons solid waste landfills incinerators across direct operational footprint,2022,MSFT
88,"We now protect more than the 11,206 acres of land that we use.",protect 11206 acres land use,2022,MSFT
89,"In FY22, we signed new PP As around the globe, bringing our total portfolio of carbonfree energy to over 13.5 GW, including projects in 16 countries and more than 135 clean energy projects.",fy22 signed new pp around globe bringing total portfolio carbonfree energy 135 gw including projects 16 countries 135 clean energy projects,2022,MSFT
90,"By the end of FY22, we provided more than 550,000 people with access to clean water and sanitation solutions in Brazil, India, Indonesia, and Mexico and reached just under one million people by the end of the calendar year 2022.",end fy22 provided 550000 people access clean water sanitation solutions reached one million people end calendar,2022,MSFT
91,Our reuse and recycle rates of servers and components across all cloud hardware reached 82 percent in FY22.,reuse recycle rates servers components across cloud hardware reached 82 percent fy22,2022,MSFT
92,"Big game migration program Through the NFWF Western Big Game Migration Program, we invested in projects in the American West that are vital for preserving the migration corridors of endangered and atrisk species, including mountain lions and grizzly bears.",big game migration program nfwf western big game migration program invested projects american west vital preserving migration corridors endangered atrisk species including mountain lions grizzly bears,2022,MSFT
93,"Environmental justice Environmental justice is embedded in our water access target, and we are looking for ways to be more intentional about integrating environmental justice into our replenishment investments.",environmental justice environmental justice embedded water access target looking ways intentional integrating environmental justice replenishment investments,2022,MSFT
94,"We reduced singleuse plastics in our Microsoft product packaging by more than 29 percent, a decrease from 4.7 percent to 3.3 percent by weight (on average) of plastic per package in FY22.",reduced singleuse plastics product packaging 29 percent decrease 47 percent 33 percent weight average plastic per package fy22,2022,MSFT
95,"Protecting biodiversity Last year, we contributed to the TNC Belize Maya Forest Project (BMF) to protect an additional 236,000 acres in a global biodiversity hotspot.",protecting biodiversity contributed tnc belize maya forest project bmf protect additional 236000 acres global biodiversity hotspot,2022,MSFT
96,"Sustainability skills gap To better understand how to close the sustainability skills gap, Microsoft published the Closing the Sustainability Skills Gap report and Linked In published the Green Skills Report to provide insights into the demand and supply of talent with green skills.",sustainability skills gap better understand close sustainability skills gap published closing sustainability skills gap report linked published green skills report provide insights demand supply talent green skills,2022,MSFT
97,Our Scope 1 and 2 (marketbased) emissions remained proportional with business growth in FY22.,scope 1 2 marketbased emissions remained proportional business growth fy22,2022,MSFT
98,"For any organizations environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmapall while measuring progress and ensuring accountability.",organizations environmental sustainability journey critical set commitments develop strategy build operational roadmapall measuring progress ensuring accountability,2022,MSFT
99,"Weve learned a lot over the last three years of Microsofts sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap.",learned lot microsofts sustainability journey hope sharing approach help organizations develop roadmap,2022,MSFT
100,on science Sustainability science has been at the center of our commitments.,science sustainability science center commitments,2022,MSFT
101,"In 2019, Microsoft took a step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough.",took step back look science behind climate change saw commitment carbon neutral enough,2022,MSFT
102,"The world needs to reach net zero by or before 2050, and achieving it relies heavily on private sector partnership and action.",world needs reach net zero achieving relies heavily private sector partnership action,2022,MSFT
103,"This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030.",guided us make commitments carbon negative water positive zero waste company,2022,MSFT
104,"of influence As a global technology leader, Microsoft has many opportunities to influenceas a customer, supplier, investor, employer, policy advocate, and innovation partner.",influence global technology leader many opportunities influenceas customer supplier investor employer policy advocate innovation partner,2022,MSFT
105,We know it will take commitment across our entire value chain to reach our goals.,know take commitment across entire value chain reach goals,2022,MSFT
106,"We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy.",also focus larger impact research investments innovation strategic partnerships policy advocacy,2022,MSFT
107,"At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",heart culture belief continue well world around us also needs well,2022,MSFT
108,"As we continue to grow, we are pursuing opportunities that help solve the problems of people and the planetand we have made sustainability core to our brand and our business.",continue grow pursuing opportunities help solve problems people planetand made sustainability core brand business,2022,MSFT
109,"Our senior leadership team has a deep and enduring commitment to sustainability, which sets the tone across all levels of our organization.",senior leadership team deep enduring commitment sustainability sets tone across levels organization,2022,MSFT
110,"To move from pledges to progress, Microsoft set commitments and built sustainability into the strategy, operations, and roadmaps of each business group and every subsidiary across the globe.",move pledges progress set commitments built sustainability strategy operations roadmaps business group every subsidiary across globe,2022,MSFT
111,We are also working across our value chain on sustainability commitments and support our customers and partners by delivering capacitybuilding tools and solutions.,also working across value chain sustainability commitments support customers partners delivering capacitybuilding tools solutions,2022,MSFT
112,and accountability Governance and accountability are critical to ensure crosscompany alignment and prioritization of sustainability commitments.,accountability governance accountability critical ensure crosscompany alignment prioritization sustainability commitments,2022,MSFT
113,"At Microsoft, we hold our business groups accountable for their carbon emissions via an internal carbon fee.",hold business groups accountable carbon emissions via internal carbon fee,2022,MSFT
114,Achieving our sustainability commitments is a core priority for every business group; we publish scorecards twice yearly and review progress quarterly.,achieving sustainability commitments core priority every business group publish scorecards twice yearly review progress,2022,MSFT
115,We established a Climate Council of senior leaders across the company to govern our sustainability progress and priorities.,established climate council senior leaders across company govern sustainability progress priorities,2022,MSFT
116,just progress Transparency needs to be a component of any sustainability initiative.,progress transparency needs component sustainability initiative,2022,MSFT
117,"Microsoft is committed to sharing our progress, learnings, innovations, methodology development, and thought leadership through our annual sustainability report, white papers, blogs, and journal publications.",committed sharing progress learnings innovations methodology development thought leadership sustainability report white papers blogs journal publications,2022,MSFT
118,"We share playbooks from our successes, as well as learnings when we uncover new challenges or setbacks.",share playbooks successes well learnings uncover new challenges setbacks,2022,MSFT
119,"These learnings also inspire us to champion global issues such as more reliable and interoperable global carbon accounting, a more systematic approach to building a multidisciplinary workforce of sustainability experts, and the development of innovative technology solutions for our customers and partners.",learnings also inspire us champion global issues reliable interoperable global carbon accounting systematic approach building multidisciplinary workforce sustainability experts development innovative technology solutions customers partners,2022,MSFT
120,"In FY22, we signed new power purchase agreements around the globe, bringing our total portfolio of carbonfree energy to over 13.5 GW.",fy22 signed new power purchase agreements around globe bringing total portfolio carbonfree energy 135 gw,2022,MSFT
121,Carbon Reducing Scope 1 and 2 emissions Reducing Scope 3 emissions Transitioning to carbonfree energy Removing carbon Key trends and whats next,carbon reducing scope 1 2 emissions reducing scope 3 emissions transitioning carbonfree energy removing carbon key trends next,2022,MSFT
122,"Our approach In January 2020, Microsoft committed to be carbon negative by 2030.",approach committed carbon negative,2022,MSFT
123,"Operationally, we see this commitment as a journey that starts with reducing carbon emissions as much as possible, replacing our electricity consumption with carbonfree energy, and removing the emissions that remain.",operationally see commitment journey starts reducing carbon emissions much possible replacing electricity consumption carbonfree energy removing emissions remain,2022,MSFT
124,"In FY22, our business grew by 18 percent and our overall emissions were down 0.5 percent.",fy22 business grew 18 percent overall emissions 05 percent,2022,MSFT
125,Our total company emissions were just under 13 million metric tons of carbon dioxide equivalents (mtCO2e) (marketbased and managementdefined criteria for Scope 3 Category 11).,total company emissions 13 million metric tons carbon dioxide equivalents mtco2e marketbased managementdefined criteria scope 3 category 11,2022,MSFT
126,"Taking into account our renewable energy purchases, our Scope 1 and 2 emissions were approximately 428,000 mtCO2e.",taking account renewable energy purchases scope 1 2 emissions approximately 428000 mtco2e,2022,MSFT
127,"More than 96 percent of our emissions are in Scope 3, which includes",96 percent emissions scope 3 includes,2022,MSFT
128,"emissions from our supply chain, the lifecycle of our hardware and devices, travel, and other indirect sources.",emissions supply chain lifecycle hardware devices travel indirect sources,2022,MSFT
129,"We saw a 0.5 percent increase in our Scope 3 emissions this year based on investments in realtime device telemetrybased measurement, improvements in our operations and supply chain, and purchases of renewable energy.",saw 05 percent increase scope 3 emissions based investments realtime device telemetrybased measurement improvements operations supply chain purchases renewable energy,2022,MSFT
130,"As the world transitions to a lowercarbon, clean energy economy, were using our purchasing and investing power to help advance innovation and the development of new solutionshelping us meet our own commitments while catalyzing the creation of broader market supply for others.",world transitions lowercarbon clean energy economy using purchasing investing power help advance innovation development new solutionshelping us meet commitments catalyzing creation broader market supply others,2022,MSFT
131,"We fund purchases of renewable energy, sustainable aviation fuel, and carbon removal through our internal carbon fee, which we established in 2012.",fund purchases renewable energy sustainable aviation fuel carbon removal internal carbon fee established,2022,MSFT
132,The fee is designed to accelerate carbon reduction and allocate funding to projects that jumpstart and scale decarbonization technologies.,fee designed accelerate carbon reduction allocate funding projects jumpstart scale decarbonization technologies,2022,MSFT
133,"In FY22, we redesigned and increased our carbon fee to accelerate Scope 3 emissions reduction, tying the fee to the costs abatement for different sourceselectricity, fuel, and other emissions.",fy22 redesigned increased carbon fee accelerate scope 3 emissions reduction tying fee costs abatement different sourceselectricity fuel emissions,2022,MSFT
134,We will continue to evaluate the carbon fee design to align our business operations and 2030 carbon commitments.,continue evaluate carbon fee design align business operations carbon commitments,2022,MSFT
135,"In 2022, we were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.",able disaggregate identify previously unreported electricity leased datacenters due improvements ability capture data,2022,MSFT
136,We have revised FY20 and FY21 Scope 2 and Scope 3 Category 3 market and location values to include this additional information.,revised fy20 fy21 scope 2 scope 3 category 3 market location values include additional information,2022,MSFT
137,"In FY22, we included this activity in our results and procured unbundled renewable energy credits (RE Cs) to mitigate the increased emissions for FY22.",fy22 included activity results procured unbundled renewable energy credits cs mitigate increased emissions fy22,2022,MSFT
138,"Our yearover-year figures show a 23 percent reduction in Scope 1 and 2 marketbased emissions, which is driven in part by our procurement of RE Cs for FY22.",yearover year figures show 23 percent reduction scope 1 2 marketbased emissions driven part procurement cs fy22,2022,MSFT
139,"Without this revision, our Scope 1 and 2 marketbased emissions would have remained proportional with business growth.",without revision scope 1 2 marketbased emissions would remained proportional business growth,2022,MSFT
140,Carbon negative by 2030 We are committed to being carbon negative by 2030 and by 2050 remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975.,carbon negative committed carbon negative remove atmosphere equivalent amount carbon dioxide company emitted either directly electricity consumption since founded,2022,MSFT
141,"Reducing direct emissions We will reduce our Scope 1 and 2 emissions to near zero by increasing energy efficiency, decarbonization, and reaching 100 percent renewable energy by 2025.",reducing direct emissions reduce scope 1 2 emissions near zero increasing energy efficiency decarbonization reaching 100 percent renewable energy,2022,MSFT
142,"Net zero Scope 1 and 2 emissions Our Scope 1 and 21 emissions remained proportional with business growth in FY22.2 More than 95 percent of our Scope 2 emissions were reduced by renewable energy from power purchase agreements (PP As), green tariff programs, and unbundled renewable energy certificates.",net zero scope 1 2 emissions scope 1 21 emissions remained proportional business growth fy222 95 percent scope 2 emissions reduced renewable energy power purchase agreements pp green tariff programs unbundled renewable energy certificates,2022,MSFT
143,"Reducing value chain emissions By 2030, we will reduce our Scope 3 emissions by more than half from a 2020 baseline.",reducing value chain emissions reduce scope 3 emissions half baseline,2022,MSFT
144,"Replacing with 100/100/0 carbonfree energy By 2030, 100 percent of our electricity consumption will be matched by zero carbon energy purchases 100 percent of the time.",replacing 1001000 carbonfree energy 100 percent electricity consumption matched zero carbon energy purchases 100 percent time,2022,MSFT
145,"Removing the rest of our emissions By 2030, Microsoft will remove more carbon than it emits.",removing rest emissions remove carbon emits,2022,MSFT
146,"By 2050, we will remove an amount of carbon equivalent to all our historical emissions.",remove amount carbon equivalent historical emissions,2022,MSFT
147,"Scope 3 emissions increased by 0.5 percent Our value chain or Scope 3 emissions increased slightly at 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth.",scope 3 emissions increased 05 percent value chain scope 3 emissions increased slightly 05 percent despite 25 percent increase purchased goods services due business growth,2022,MSFT
